TEFÉ	-64.655	-3.376
    14     5  1985     1009.000000
    15     5  1985     1013.000000
    16     5  1985     1017.000000
    17     5  1985     1019.000000
    18     5  1985     1025.000000
    19     5  1985     1029.000000
    20     5  1985     1033.000000
    21     5  1985     1035.000000
    22     5  1985     1038.000000
    23     5  1985     1040.000000
    24     5  1985     1042.000000
    25     5  1985     1044.000000
    26     5  1985     1048.000000
    27     5  1985     1050.000000
    28     5  1985     1052.000000
    29     5  1985     1054.000000
    30     5  1985     1057.000000
    31     5  1985     1059.000000
     1     6  1985     1064.000000
     2     6  1985     1067.000000
     3     6  1985     1070.000000
     4     6  1985     1073.000000
     5     6  1985     1077.000000
     6     6  1985     1082.000000
     7     6  1985     1087.000000
     8     6  1985     1094.000000
     9     6  1985     1098.000000
    10     6  1985     1103.000000
    11     6  1985     1107.000000
    12     6  1985     1110.000000
    13     6  1985     1112.000000
    14     6  1985     1114.000000
    15     6  1985     1117.000000
    16     6  1985     1119.000000
    17     6  1985     1121.000000
    18     6  1985     1123.000000
    19     6  1985     1125.000000
    20     6  1985     1126.000000
    21     6  1985     1126.000000
    22     6  1985     1127.000000
    23     6  1985     1128.000000
    24     6  1985     1129.000000
    25     6  1985     1130.000000
    26     6  1985     1127.000000
    27     6  1985     1125.000000
    28     6  1985     1123.000000
    29     6  1985     1121.000000
    30     6  1985     1118.000000
     1     7  1985     1115.000000
     2     7  1985     1112.000000
     3     7  1985     1111.000000
     4     7  1985     1109.000000
     5     7  1985     1107.000000
     6     7  1985     1105.000000
     7     7  1985     1103.000000
     8     7  1985     1099.000000
     9     7  1985     1097.000000
    10     7  1985     1096.000000
    11     7  1985     1094.000000
    12     7  1985     1092.000000
    13     7  1985     1090.000000
    14     7  1985     1087.000000
    15     7  1985     1084.000000
    16     7  1985     1083.000000
    17     7  1985     1079.000000
    18     7  1985     1075.000000
    19     7  1985     1073.000000
    20     7  1985     1069.000000
    21     7  1985     1066.000000
    22     7  1985     1063.000000
    23     7  1985     1060.000000
    24     7  1985     1059.000000
    25     7  1985     1056.000000
    26     7  1985     1054.000000
    27     7  1985     1053.000000
    28     7  1985     1049.000000
    29     7  1985     1045.000000
    30     7  1985     1041.000000
    31     7  1985     1037.000000
     1     8  1985     1031.000000
     2     8  1985     1025.000000
     3     8  1985     1021.000000
     4     8  1985     1014.000000
     5     8  1985     1006.000000
     6     8  1985     1000.000000
     7     8  1985      992.000000
     8     8  1985      984.000000
     9     8  1985      975.000000
    10     8  1985      969.000000
    11     8  1985      961.000000
    12     8  1985      957.000000
    13     8  1985      953.000000
    14     8  1985      949.000000
    15     8  1985      947.000000
    16     8  1985      943.000000
    17     8  1985      940.000000
    18     8  1985      937.000000
    19     8  1985      934.000000
    20     8  1985      931.000000
    21     8  1985      929.000000
    22     8  1985      926.000000
    23     8  1985      923.000000
    24     8  1985      919.000000
    25     8  1985      915.000000
    26     8  1985      911.000000
    27     8  1985      906.000000
    28     8  1985      900.000000
    29     8  1985      891.000000
    30     8  1985      884.000000
    31     8  1985      876.000000
     1     9  1985      868.000000
     2     9  1985      860.000000
     3     9  1985      854.000000
     4     9  1985      846.000000
     5     9  1985      839.000000
     6     9  1985      830.000000
     7     9  1985      825.000000
     8     9  1985      818.000000
     9     9  1985      806.000000
    10     9  1985      794.000000
    11     9  1985      784.000000
    12     9  1985      775.000000
    13     9  1985      766.000000
    14     9  1985      756.000000
    15     9  1985      748.000000
    16     9  1985      738.000000
    17     9  1985      728.000000
    18     9  1985      718.000000
    19     9  1985      708.000000
    20     9  1985      699.000000
    21     9  1985      690.000000
    22     9  1985      682.000000
    23     9  1985      669.000000
    24     9  1985      658.000000
    25     9  1985      648.000000
    26     9  1985      639.000000
    27     9  1985      626.000000
    28     9  1985      612.000000
    29     9  1985      602.000000
    30     9  1985      594.000000
     1    10  1985      589.000000
     2    10  1985      585.000000
     3    10  1985      582.000000
     4    10  1985      581.000000
     5    10  1985      580.000000
     6    10  1985      580.000000
     7    10  1985      579.000000
     8    10  1985      577.000000
     9    10  1985      575.000000
    10    10  1985      573.000000
    11    10  1985      572.000000
    12    10  1985      571.000000
    13    10  1985      570.000000
    14    10  1985      571.000000
