BERURI	-61.368	-3.885
    29     1  1985     1583.000000
    30     1  1985     1580.000000
    31     1  1985     1578.000000
     1     2  1985     1576.000000
     2     2  1985     1574.000000
     3     2  1985     1570.000000
     4     2  1985     1563.000000
     5     2  1985     1550.000000
     6     2  1985     1544.000000
     7     2  1985     1537.000000
     8     2  1985     1533.000000
     9     2  1985     1526.000000
    10     2  1985     1518.000000
    11     2  1985     1512.000000
    12     2  1985     1499.000000
    13     2  1985     1491.000000
    14     2  1985     1488.000000
    15     2  1985     1484.000000
    16     2  1985     1479.000000
    17     2  1985     1472.000000
    18     2  1985     1467.000000
    19     2  1985     1463.000000
    20     2  1985     1457.000000
    21     2  1985     1455.000000
    22     2  1985     1454.000000
    23     2  1985     1451.000000
    24     2  1985     1448.000000
    25     2  1985     1446.000000
    26     2  1985     1446.000000
    27     2  1985     1446.000000
    28     2  1985     1446.000000
     1     3  1985     1446.000000
     2     3  1985     1446.000000
     3     3  1985     1448.000000
     4     3  1985     1450.000000
     5     3  1985     1451.000000
     6     3  1985     1452.000000
     7     3  1985     1453.000000
     8     3  1985     1456.000000
     9     3  1985     1463.000000
    10     3  1985     1464.000000
    11     3  1985     1464.000000
    12     3  1985     1464.000000
    13     3  1985     1465.000000
    14     3  1985     1466.000000
    15     3  1985     1471.000000
    16     3  1985     1474.000000
    17     3  1985     1477.000000
    18     3  1985     1482.000000
    19     3  1985     1488.000000
    20     3  1985     1502.000000
    21     3  1985     1506.000000
    22     3  1985     1510.000000
    23     3  1985     1512.000000
    24     3  1985     1515.000000
    25     3  1985     1519.000000
    26     3  1985     1527.000000
    27     3  1985     1530.000000
    28     3  1985     1533.000000
    29     3  1985     1534.000000
    30     3  1985     1536.000000
    31     3  1985     1541.000000
     1     4  1985     1542.000000
     2     4  1985     1544.000000
     3     4  1985     1546.000000
     4     4  1985     1548.000000
     5     4  1985     1546.000000
     6     4  1985     1546.000000
     7     4  1985     1545.000000
     8     4  1985     1545.000000
     9     4  1985     1545.000000
    10     4  1985     1545.000000
    11     4  1985     1545.000000
    12     4  1985     1546.000000
    13     4  1985     1547.000000
    14     4  1985     1547.000000
    15     4  1985     1548.000000
    16     4  1985     1550.000000
    17     4  1985     1552.000000
    18     4  1985     1554.000000
    19     4  1985     1556.000000
    20     4  1985     1557.000000
    21     4  1985     1559.000000
    22     4  1985     1563.000000
    23     4  1985     1564.000000
    24     4  1985     1566.000000
    25     4  1985     1568.000000
    26     4  1985     1573.000000
    27     4  1985     1581.000000
    28     4  1985     1584.000000
    29     4  1985     1586.000000
    30     4  1985     1588.000000
     1     5  1985     1592.000000
     2     5  1985     1596.000000
     3     5  1985     1602.000000
     4     5  1985     1606.000000
     5     5  1985     1611.000000
     6     5  1985     1616.000000
     7     5  1985     1618.000000
     8     5  1985     1624.000000
     9     5  1985     1632.000000
    10     5  1985     1637.000000
    11     5  1985     1642.000000
    12     5  1985     1646.000000
    13     5  1985     1659.000000
    14     5  1985     1663.000000
    15     5  1985     1667.000000
    16     5  1985     1679.000000
    17     5  1985     1685.000000
    18     5  1985     1689.000000
    19     5  1985     1697.000000
    20     5  1985     1701.000000
    21     5  1985     1705.000000
    22     5  1985     1708.000000
    23     5  1985     1710.000000
    24     5  1985     1712.000000
    25     5  1985     1714.000000
    26     5  1985     1717.000000
    27     5  1985     1722.000000
    28     5  1985     1730.000000
    29     5  1985     1732.000000
    30     5  1985     1734.000000
    31     5  1985     1736.000000
     1     6  1985     1739.000000
     2     6  1985     1742.000000
     3     6  1985     1745.000000
     4     6  1985     1749.000000
     5     6  1985     1752.000000
     6     6  1985     1754.000000
     7     6  1985     1757.000000
     8     6  1985     1761.000000
     9     6  1985     1766.000000
    10     6  1985     1768.000000
    11     6  1985     1770.000000
    12     6  1985     1772.000000
    13     6  1985     1774.000000
    14     6  1985     1776.000000
    15     6  1985     1778.000000
    16     6  1985     1780.000000
    17     6  1985     1782.000000
    18     6  1985     1786.000000
    19     6  1985     1789.000000
    20     6  1985     1792.000000
    21     6  1985     1794.000000
    22     6  1985     1796.000000
    23     6  1985     1798.000000
    24     6  1985     1799.000000
    25     6  1985     1799.000000
    26     6  1985     1799.000000
    27     6  1985     1799.000000
    28     6  1985     1799.000000
    29     6  1985     1799.000000
    30     6  1985     1799.000000
     1     7  1985     1799.000000
     2     7  1985     1799.000000
     3     7  1985     1798.000000
     4     7  1985     1796.000000
     5     7  1985     1794.000000
     6     7  1985     1792.000000
     7     7  1985     1790.000000
     8     7  1985     1788.000000
     9     7  1985     1786.000000
    10     7  1985     1784.000000
    11     7  1985     1782.000000
    12     7  1985     1780.000000
    13     7  1985     1777.000000
    14     7  1985     1774.000000
    15     7  1985     1772.000000
    16     7  1985     1769.000000
    17     7  1985     1765.000000
    18     7  1985     1762.000000
    19     7  1985     1760.000000
    20     7  1985     1756.000000
    21     7  1985     1752.000000
    22     7  1985     1747.000000
    23     7  1985     1741.000000
    24     7  1985     1737.000000
    25     7  1985     1733.000000
    26     7  1985     1729.000000
    27     7  1985     1725.000000
    28     7  1985     1719.000000
    29     7  1985     1712.000000
    30     7  1985     1709.000000
    31     7  1985     1704.000000
     1     8  1985     1697.000000
     2     8  1985     1693.000000
     3     8  1985     1685.000000
     4     8  1985     1680.000000
     5     8  1985     1675.000000
     6     8  1985     1669.000000
     7     8  1985     1663.000000
     8     8  1985     1654.000000
     9     8  1985     1646.000000
    10     8  1985     1641.000000
    11     8  1985     1636.000000
    12     8  1985     1631.000000
    13     8  1985     1627.000000
    14     8  1985     1623.000000
    15     8  1985     1619.000000
    16     8  1985     1612.000000
    17     8  1985     1602.000000
    18     8  1985     1594.000000
    19     8  1985     1588.000000
    20     8  1985     1582.000000
    21     8  1985     1574.000000
    22     8  1985     1567.000000
    23     8  1985     1563.000000
    24     8  1985     1559.000000
    25     8  1985     1552.000000
    26     8  1985     1544.000000
    27     8  1985     1536.000000
    28     8  1985     1530.000000
    29     8  1985     1524.000000
    30     8  1985     1518.000000
    31     8  1985     1510.000000
     1     9  1985     1499.000000
     2     9  1985     1490.000000
     3     9  1985     1480.000000
     4     9  1985     1471.000000
     5     9  1985     1463.000000
     6     9  1985     1457.000000
     7     9  1985     1452.000000
     8     9  1985     1447.000000
     9     9  1985     1443.000000
    10     9  1985     1439.000000
    11     9  1985     1435.000000
    12     9  1985     1431.000000
    13     9  1985     1427.000000
    14     9  1985     1423.000000
    15     9  1985     1415.000000
    16     9  1985     1406.000000
    17     9  1985     1392.000000
    18     9  1985     1384.000000
    19     9  1985     1377.000000
    20     9  1985     1370.000000
    21     9  1985     1360.000000
    22     9  1985     1350.000000
    23     9  1985     1340.000000
