ASSISBRASIL	-69.550	-10.933
    27     8  1985      261.000000
    28     8  1985      285.000000
    29     8  1985      292.000000
    30     8  1985      278.000000
    31     8  1985      272.000000
     1     9  1985      267.000000
     2     9  1985      263.000000
     3     9  1985      260.000000
     4     9  1985      257.000000
     5     9  1985      254.000000
     6     9  1985      252.000000
     7     9  1985      251.000000
     8     9  1985      250.000000
     9     9  1985      255.000000
    10     9  1985      254.000000
    11     9  1985      254.000000
    12     9  1985      265.000000
    13     9  1985      263.000000
    14     9  1985      264.000000
    15     9  1985      274.000000
    16     9  1985      274.000000
    17     9  1985      262.000000
    18     9  1985      268.000000
    19     9  1985      270.000000
    20     9  1985      266.000000
    21     9  1985      275.000000
    22     9  1985      274.000000
    23     9  1985      277.000000
    24     9  1985      274.000000
    25     9  1985      309.000000
    26     9  1985      315.000000
    27     9  1985      303.000000
    28     9  1985      311.000000
    29     9  1985      277.000000
    30     9  1985      267.000000
     1    10  1985      264.000000
     2    10  1985      263.000000
     3    10  1985      259.000000
     4    10  1985      380.000000
     5    10  1985      367.000000
     6    10  1985      316.000000
     7    10  1985      293.000000
     8    10  1985      280.000000
     9    10  1985      282.000000
    10    10  1985      271.000000
    11    10  1985      267.000000
    12    10  1985      271.000000
    13    10  1985      271.000000
    14    10  1985      278.000000
    15    10  1985      280.000000
    16    10  1985      271.000000
    17    10  1985      274.000000
    18    10  1985      290.000000
    19    10  1985      307.000000
    20    10  1985      290.000000
    21    10  1985      269.000000
    22    10  1985      266.000000
    23    10  1985      264.000000
    24    10  1985      271.000000
    25    10  1985      285.000000
    26    10  1985      275.000000
    27    10  1985      265.000000
    28    10  1985      268.000000
    29    10  1985      274.000000
    30    10  1985      269.000000
    31    10  1985      339.000000
     1    11  1985      460.000000
     2    11  1985      363.000000
     3    11  1985      377.000000
     4    11  1985      432.000000
     5    11  1985      477.000000
     6    11  1985      471.000000
     7    11  1985      381.000000
     8    11  1985      357.000000
     9    11  1985      336.000000
    10    11  1985      307.000000
    11    11  1985      300.000000
    12    11  1985      312.000000
    13    11  1985      503.000000
    14    11  1985      454.000000
    15    11  1985      503.000000
    16    11  1985      482.000000
    17    11  1985      411.000000
    18    11  1985      374.000000
    19    11  1985      362.000000
    20    11  1985      338.000000
    21    11  1985      339.000000
    22    11  1985      330.000000
    23    11  1985      335.000000
    24    11  1985      339.000000
    25    11  1985      335.000000
    26    11  1985      497.000000
    27    11  1985      428.000000
    28    11  1985      427.000000
    29    11  1985      399.000000
    30    11  1985      365.000000
     1    12  1985      339.000000
